Time(s),Vout(V),Iout(A)
0.000000e+00,6.151000e-192,-1.229000e-193
1.000000e-11,6.912000e+00,1.951000e-01
2.000000e-11,1.408000e+01,3.850000e-01
3.777000e-11,3.380000e+01,5.828000e-01
5.205000e-11,5.504000e+01,6.344000e-01
6.168000e-11,6.178000e+01,8.204000e-01
7.388000e-11,6.138000e+01,1.235000e+00
8.783000e-11,6.314000e+01,1.665000e+00
1.025000e-10,6.452000e+01,2.127000e+00
1.233000e-10,6.635000e+01,2.783000e+00
1.517000e-10,6.921000e+01,3.671000e+00
1.932000e-10,7.296000e+01,4.982000e+00
2.596000e-10,7.941000e+01,7.065000e+00
3.000000e-10,8.251000e+01,8.350000e+00
3.038000e-10,8.031000e+01,8.394000e+00
3.151000e-10,7.777000e+01,8.445000e+00
3.327000e-10,7.830000e+01,8.434000e+00
3.498000e-10,7.805000e+01,8.439000e+00
3.713000e-10,7.803000e+01,8.439000e+00
4.092000e-10,7.778000e+01,8.444000e+00
4.690000e-10,7.742000e+01,8.452000e+00
5.809000e-10,7.627000e+01,8.475000e+00
6.804000e-10,7.502000e+01,8.500000e+00
8.058000e-10,7.279000e+01,8.544000e+00
9.679000e-10,6.921000e+01,8.616000e+00
1.391000e-09,5.501000e+01,8.900000e+00
2.059000e-09,2.684000e+01,9.463000e+00
2.615000e-09,2.024000e+01,9.595000e+00
3.009000e-09,1.838000e+01,9.632000e+00
3.442000e-09,1.696000e+01,9.661000e+00
4.177000e-09,1.644000e+01,9.671000e+00
5.048000e-09,1.610000e+01,9.678000e+00
5.300000e-09,1.632000e+01,9.674000e+00
5.315000e-09,1.320000e+01,9.236000e+00
5.340000e-09,1.234000e+01,8.423000e+00
5.415000e-09,1.239000e+01,5.930000e+00
5.498000e-09,1.132000e+01,3.184000e+00
5.600000e-09,3.269000e+00,-6.538000e-02
5.601000e-09,4.317000e+00,-8.634000e-02
5.603000e-09,5.073000e+00,-1.015000e-01
5.609000e-09,4.529000e+00,-9.058000e-02
5.614000e-09,3.450000e+00,-6.899000e-02
5.617000e-09,2.828000e+00,-5.656000e-02
5.622000e-09,2.197000e+00,-4.394000e-02
5.629000e-09,1.476000e+00,-2.952000e-02
5.641000e-09,7.653000e-01,-1.531000e-02
5.653000e-09,3.978000e-01,-7.955000e-03
5.664000e-09,2.132000e-01,-4.263000e-03
5.674000e-09,1.202000e-01,-2.404000e-03
5.684000e-09,6.780000e-02,-1.356000e-03
5.695000e-09,3.799000e-02,-7.598000e-04
5.705000e-09,2.110000e-02,-4.220000e-04
5.716000e-09,1.174000e-02,-2.347000e-04
5.727000e-09,6.549000e-03,-1.310000e-04
5.737000e-09,3.663000e-03,-7.326000e-05
5.748000e-09,2.045000e-03,-4.090000e-05
5.758000e-09,1.137000e-03,-2.274000e-05
5.769000e-09,6.302000e-04,-1.260000e-05
5.780000e-09,3.499000e-04,-6.999000e-06
5.791000e-09,1.945000e-04,-3.891000e-06
5.801000e-09,1.082000e-04,-2.164000e-06
5.812000e-09,6.016000e-05,-1.203000e-06
5.823000e-09,3.344000e-05,-6.688000e-07
5.833000e-09,1.859000e-05,-3.717000e-07
5.844000e-09,1.033000e-05,-2.066000e-07
5.855000e-09,5.743000e-06,-1.149000e-07
5.865000e-09,3.192000e-06,-6.385000e-08
5.876000e-09,1.775000e-06,-3.549000e-08
5.886000e-09,9.865000e-07,-1.973000e-08
5.897000e-09,5.484000e-07,-1.097000e-08
5.908000e-09,3.048000e-07,-6.096000e-09
5.918000e-09,1.694000e-07,-3.389000e-09
5.929000e-09,9.419000e-08,-1.884000e-09
5.940000e-09,5.236000e-08,-1.047000e-09
5.950000e-09,2.910000e-08,-5.821000e-10
5.961000e-09,1.618000e-08,-3.236000e-10
5.972000e-09,8.993000e-09,-1.799000e-10
5.984000e-09,4.453000e-09,-8.907000e-11
6.000000e-09,1.854000e-09,-3.708000e-11
6.019000e-09,5.849000e-10,-1.170000e-11
6.044000e-09,1.161000e-10,-2.323000e-12
6.081000e-09,1.508000e-12,-3.015000e-14
6.146000e-09,-4.140000e-13,8.281000e-15
6.301000e-09,2.530000e-13,-5.060000e-15
6.765000e-09,-2.153000e-13,4.306000e-15
7.765000e-09,1.998000e-13,-3.996000e-15
8.765000e-09,-1.854000e-13,3.708000e-15
9.765000e-09,1.721000e-13,-3.442000e-15
1.000000e-08,-1.249000e-13,2.498000e-15
